"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"781","The Exorcist: Believer",52,"The Exorcist: Believer",136294607,65537395,"48.1%","$70,757,212","51.9%",2023,1134,"The Exorcist (1971), William Peter Blatty",1971,2023,52
"782","The Fan",89,"The Fan",18626419,18626419,"100%","-","-",1996,1152,"The Fan (1977), Bob Randall",1977,1981,4
"783","The Fan",89,"The Fan",18626419,18626419,"100%","-","-",1996,1153,"The Fan (1995), Peter Abrahams",1995,1996,1
"784","The Fan",85,"The Fan",3082096,3082096,"100%","-","-",1981,1152,"The Fan (1977), Bob Randall",1977,1981,4
"785","The Fan",85,"The Fan",3082096,3082096,"100%","-","-",1981,1153,"The Fan (1995), Peter Abrahams",1995,1996,1
"786","The Firm",4,"The Firm",158348367,158348367,"100%","-","-",1993,1195,"The Firm (1991), John Grisham",1991,1993,2
"787","The First Wives Club",11,"The First Wives Club",105489203,105489203,"100%","-","-",1996,1207,"The First Wives Club (1992), Olivia Goldsmith",1992,1996,4
"788","The Forbidden Kingdom",53,"The Forbidden Kingdom",128779982,52075270,"40.4%","$76,704,712","59.6%",2008,1836,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",1592,2008,416
"789","The Forest",142,"The Forest",39712000,26594261,"67%","$13,117,739","33%",2016,1238,"The Forest (Portuguese: A Selva) (1900), José Maria Ferreira de Castro (as Ferreira de Castro)",1900,2002,102
"790","The Formula",65,"The Formula",8894289,8894289,"100%","-","-",1980,1241,"The Formula (1979), Steve Shagan",1979,1980,1
"791","The Four Feathers",114,"The Four Feathers",29882645,18306166,"61.3%","$11,576,479","38.7%",2002,1249,"The Four Feathers (1902), A. E. W. Mason",1902,1978,76
"792","The Four Feathers",114,"The Four Feathers",29882645,18306166,"61.3%","$11,576,479","38.7%",2002,1250,"The Four Feathers (1902), A. E. W. Mason",1902,2002,100
"793","The Four Feathers",114,"The Four Feathers",29882645,18306166,"61.3%","$11,576,479","38.7%",2002,1246,"The Four Feathers (1902), A. E. W. Mason",1902,1929,27
"794","The Four Feathers",114,"The Four Feathers",29882645,18306166,"61.3%","$11,576,479","38.7%",2002,1247,"The Four Feathers (1902), A. E. W. Mason",1902,1939,37
"795","The Four Feathers",114,"The Four Feathers",29882645,18306166,"61.3%","$11,576,479","38.7%",2002,1245,"The Four Feathers (1902), A. E. W. Mason",1902,1921,19
"796","The Fourth Protocol",81,"The Fourth Protocol",12423831,12423831,"100%","-","-",1987,1252,"The Fourth Protocol (1984), Frederick Forsyth",1984,1987,3
"797","The Fox and the Hound",14,"The Fox and the Hound",39900000,39900000,"100%","-","-",1981,1253,"The Fox and the Hound (1967), Daniel P. Mannix",1967,1981,14
"798","The French Lieutenant's Woman",27,"The French Lieutenant's Woman",26890068,26890068,"100%","-","-",1981,1340,"The French Lieutenant's Woman (1969), John Fowles",1969,1981,12
"799","The Fugitive",3,"The Fugitive",183875799,183875760,"100%","$39","<0.1%",1993,2600,"The Power and the Glory (1940), Graham Greene",1940,1947,7
"800","The Getaway",90,"The Getaway",16094974,16094974,"100%","-","-",1994,1385,"The Getaway (1959), Jim Thompson",1959,1994,35
"801","The Getaway",90,"The Getaway",16094974,16094974,"100%","-","-",1994,1384,"The Getaway (1959), Jim Thompson",1959,1972,13
"802","The Ghost Writer",102,"The Ghost Writer",60331447,15541549,"25.8%","$44,789,898","74.2%",2010,1387,"The Ghost (2007), Robert Harris",2007,2010,3
"803","The Girl in the Spider's Web",156,"The Girl in the Spider's Web",35164920,14841338,"42.2%","$20,323,582","57.8%",2018,1392,"The Girl in the Spider's Web (2015), David Lagercrantz",2015,2018,3
"804","The Girl Who Played with Fire",85,"The Girl Who Played with Fire",67153225,7638241,"11.4%","$59,514,984","88.6%",2009,2201,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",2005,2009,4
"805","The Girl with the Dragon Tattoo",55,"The Girl with the Dragon Tattoo",104414200,10095170,"9.7%","$94,319,030","90.3%",2009,2203,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",2005,2011,6
"806","The Girl with the Dragon Tattoo",55,"The Girl with the Dragon Tattoo",104414200,10095170,"9.7%","$94,319,030","90.3%",2009,2200,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",2005,2009,4
"807","The Girl with the Dragon Tattoo",26,"The Girl with the Dragon Tattoo",232617430,102515793,"44.1%","$130,101,637","55.9%",2011,2203,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",2005,2011,6
"808","The Girl with the Dragon Tattoo",26,"The Girl with the Dragon Tattoo",232617430,102515793,"44.1%","$130,101,637","55.9%",2011,2200,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",2005,2009,4
"809","The Godfather Part III",17,"The Godfather Part III",66774871,66666062,"99.8%","$108,809","0.2%",1990,1415,"The Godfather (1969), Mario Puzo",1969,1990,21
"810","The Golden Bowl",198,"The Golden Bowl",5753678,3050532,"53%","$2,703,146","47%",2001,1421,"The Golden Bowl (1904), Henry James",1904,2000,96
"811","The Golden Compass",13,"The Golden Compass",372234864,70107728,"18.8%","$302,127,136","81.2%",2007,2386,"Northern Lights (1995), Philip Pullman",1995,2007,12
"812","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1459,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,2013,88
"813","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1453,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,1926,1
"814","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1456,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,2000,75
"815","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1455,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,1974,49
"816","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1454,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,1949,24
"817","The Great Gatsby",20,"The Great Gatsby",353641895,144840419,"41%","$208,801,476","59%",2013,1458,"The Great Gatsby (1925), F. Scott Fitzgerald",1925,2007,82
"818","The Great Mouse Detective",38,"The Great Mouse Detective",25336794,25336794,"100%","-","-",1986,289,"Basil of Baker Street (1958), Eve Titus",1958,1986,28
"819","The Great Santini",63,"The Great Santini",4702575,4702575,"100%","-","-",1979,1473,"The Great Santini (1976), Pat Conroy",1976,1979,3
"820","The Green Mile",10,"The Green Mile",286801374,136801374,"47.7%","$150,000,000","52.3%",1999,1479,"The Green Mile (1996)[N 23], Stephen King",1996,1999,3
"821","The Grifters",86,"The Grifters",13446769,13446769,"100%","-","-",1990,1483,"The Grifters (1963), Jim Thompson",1963,1990,27
"822","The Guardian",63,"The Guardian",94973540,55011732,"57.9%","$39,961,808","42.1%",2006,2337,"The Nanny (1987), Dan Greenburg",1987,1990,3
"823","The Guardian",69,"The Guardian",17037887,17037887,"100%","-","-",1990,2337,"The Nanny (1987), Dan Greenburg",1987,1990,3
"824","The Hand",89,"The Hand",2447576,2447576,"100%","-","-",1981,2090,"The Lizard's Tail (1979), Marc Brandell",1979,1981,2
"825","The Handmaid's Tale",123,"The Handmaid's Tale",4960385,4960385,"100%","-","-",1990,1516,"The Handmaid's Tale (1985), Margaret Atwood",1985,1990,5
"826","The Haunting",20,"The Haunting",177311151,91411151,"51.6%","$85,900,000","48.4%",1999,1539,"The Haunting of Hill House (1959), Shirley Jackson",1959,1963,4
"827","The Haunting",20,"The Haunting",177311151,91411151,"51.6%","$85,900,000","48.4%",1999,1540,"The Haunting of Hill House (1959), Shirley Jackson",1959,1999,40
"828","The Help",29,"The Help",216639112,169708112,"78.3%","$46,931,000","21.7%",2011,1572,"The Help (2009), Kathryn Stockett",2009,2011,2
"829","The Hitchhiker's Guide to the Galaxy",49,"The Hitchhiker's Guide to the Galaxy",104478416,51085416,"48.9%","$53,393,000","51.1%",2005,1584,"The Hitchhiker's Guide to the Galaxy (1979)[N 27], Douglas Adams",1979,2004,25
"830","The Hobbit: An Unexpected Journey",4,"The Hobbit: An Unexpected Journey",1017003568,303003568,"29.8%","$714,000,000","70.2%",2012,1587,"The Hobbit (1937), J. R. R. Tolkien",1937,2012,75
"831","The Hobbit: The Battle of the Five Armies",2,"The Hobbit: The Battle of the Five Armies",956019788,255119788,"26.7%","$700,900,000","73.3%",2014,1589,"The Hobbit (1937), J. R. R. Tolkien",1937,2014,77
"832","The Hobbit: The Desolation of Smaug",4,"The Hobbit: The Desolation of Smaug",958366855,258366855,"27%","$700,000,000","73%",2013,1588,"The Hobbit (1937), J. R. R. Tolkien",1937,2013,76
"833","The Holcroft Covenant",162,"The Holcroft Covenant",393825,393825,"100%","-","-",1985,1590,"The Holcroft Covenant (1978), Robert Ludlum",1978,1985,7
"834","The Host",106,"The Host",63365859,26627201,"42%","$36,738,658","58%",2013,1617,"The Host (2008), Stephenie Meyer",2008,2013,5
"835","The Host",64,"The Host",89431890,2201923,"2.5%","$87,229,967","97.5%",2006,1617,"The Host (2008), Stephenie Meyer",2008,2013,5
"836","The Hours",46,"The Hours",108846072,41675994,"38.3%","$67,170,078","61.7%",2002,1641,"The Hours (1998), Michael Cunningham",1998,2002,4
"837","The House of the Spirits",134,"The House of the Spirits",6265311,6265311,"100%","-","-",1994,1643,"The House of the Spirits (Spanish: La casa de los espíritus) (1982), Isabel Allende",1982,1993,11
"838","The Howling",41,"The Howling",17985893,17985893,"100%","-","-",1981,1648,"The Howling (1977), Gary Brandner",1977,1981,4
"839","The Human Stain",135,"The Human Stain",22954068,5381908,"23.4%","$17,572,160","76.6%",2003,1659,"The Human Stain (2000), Philip Roth",2000,2003,3
"840","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1665,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1939,457
"841","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1674,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1996,514
"842","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1669,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1976,494
"843","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1671,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1986,504
"844","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1661,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1911,429
"845","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1664,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1923,441
"846","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1670,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1982,500
"847","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1666,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1956,474
"848","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1667,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1966,484
"849","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1675,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1996,514
"850","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1673,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1996,514
"851","The Hunchback of Notre Dame",15,"The Hunchback of Notre Dame",100138851,100138851,"100%","-","-",1996,1676,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",1482,1996,514
"852","The Hunger Games",9,"The Hunger Games",694394724,408010692,"58.8%","$286,384,032","41.2%",2012,1685,"The Hunger Games (2008–2010, 2020) (series)[N 29], Suzanne Collins",2008,2012,4
"853","The Hunger Games: Catching Fire",5,"The Hunger Games: Catching Fire",865011746,424668047,"49.1%","$440,343,699","50.9%",2013,1686,"The Hunger Games (2008–2010, 2020) (series)[N 29], Suzanne Collins",2008,2013,5
"854","The Hunger Games: Mockingjay - Part 1",5,"The Hunger Games: Mockingjay - Part 1",755356711,337135885,"44.6%","$418,220,826","55.4%",2014,1687,"The Hunger Games (2008–2010, 2020) (series)[N 29], Suzanne Collins",2008,2014,6
"855","The Hunger Games: Mockingjay - Part 2",9,"The Hunger Games: Mockingjay - Part 2",653428261,281723902,"43.1%","$371,704,359","56.9%",2015,1688,"The Hunger Games (2008–2010, 2020) (series)[N 29], Suzanne Collins",2008,2015,7
"856","The Hunger Games: The Ballad of Songbirds & Snakes",22,"The Hunger Games: The Ballad of Songbirds & Snakes",347720766,166350594,"47.8%","$181,370,172","52.2%",2023,1689,"The Hunger Games (2008–2010, 2020) (series)[N 29], Suzanne Collins",2008,2023,15
"857","The Hunt for Red October",6,"The Hunt for Red October",122012643,122012643,"100%","-","-",1990,1690,"The Hunt for Red October (1984), Tom Clancy",1984,1990,6
"858","The Incredible Shrinking Woman",37,"The Incredible Shrinking Woman",20259961,20259961,"100%","-","-",1981,2922,"The Shrinking Man (1956), Richard Matheson",1956,1981,25
"859","The Innocent",166,"The Innocent",5929392,22549,"0.4%","$5,906,843","99.6%",2020,1719,"The Innocent (1990), Ian McEwan",1990,1993,3
"860","The Invasion",117,"The Invasion",40170558,15074191,"37.5%","$25,096,367","62.5%",2007,450,"The Body Snatchers (1955), Jack Finney",1955,2007,52
"861","The Invisible Man",15,"The Invisible Man",144492724,70410000,"48.7%","$74,082,724","51.3%",2020,1733,"The Invisible Man (1897), H. G. Wells",1897,2020,123
"862","The Invisible Man",15,"The Invisible Man",144492724,70410000,"48.7%","$74,082,724","51.3%",2020,1732,"The Invisible Man (1897), H. G. Wells",1897,1984,87
"863","The Invisible Man",15,"The Invisible Man",144492724,70410000,"48.7%","$74,082,724","51.3%",2020,1731,"The Invisible Man (1897), H. G. Wells",1897,1975,78
"864","The Invisible Man",15,"The Invisible Man",144492724,70410000,"48.7%","$74,082,724","51.3%",2020,1725,"The Invisible Man (1897), H. G. Wells",1897,1933,36
"865","The Island",45,"The Island",15716828,15716828,"100%","-","-",1980,1740,"The Island (1979), Peter Benchley",1979,1980,1
"866","The Island",44,"The Island",198326350,670883,"0.3%","$197,655,467","99.7%",2018,1740,"The Island (1979), Peter Benchley",1979,1980,1
"867","The Island",26,"The Island",162949164,35818913,"22%","$127,130,251","78%",2005,1740,"The Island (1979), Peter Benchley",1979,1980,1
"868","The Island of Dr. Moreau",55,"The Island of Dr. Moreau",27663982,27663982,"100%","-","-",1996,1746,"The Island of Doctor Moreau (1896), H. G. Wells",1896,1996,100
"869","The Island of Dr. Moreau",55,"The Island of Dr. Moreau",27663982,27663982,"100%","-","-",1996,1745,"The Island of Doctor Moreau (1896), H. G. Wells",1896,1977,81
"870","The Jackal",37,"The Jackal",54930280,54930280,"100%","-","-",1997,773,"The Day of the Jackal (1971), Frederick Forsyth",1971,1997,26
"871","The Joy Luck Club",47,"The Joy Luck Club",32901136,32901136,"100%","-","-",1993,1847,"The Joy Luck Club (1989), Amy Tan",1989,1993,4
"872","The Jungle Book",34,"The Jungle Book",43229904,43229904,"100%","-","-",1994,1857,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,1992,98
"873","The Jungle Book",34,"The Jungle Book",43229904,43229904,"100%","-","-",1994,1855,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,1967,73
"874","The Jungle Book",34,"The Jungle Book",43229904,43229904,"100%","-","-",1994,1863,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,2016,122
"875","The Jungle Book",5,"The Jungle Book",966550600,364001123,"37.7%","$602,549,477","62.3%",2016,1857,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,1992,98
"876","The Jungle Book",5,"The Jungle Book",966550600,364001123,"37.7%","$602,549,477","62.3%",2016,1855,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,1967,73
"877","The Jungle Book",5,"The Jungle Book",966550600,364001123,"37.7%","$602,549,477","62.3%",2016,1863,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,2016,122
"878","The Jungle Book 2",43,"The Jungle Book 2",135703599,47901582,"35.3%","$87,802,017","64.7%",2003,1862,"The Jungle Books (1894–1895)[N 32], Rudyard Kipling",1894,2003,109
"879","The King and I",121,"The King and I",11993021,11993021,"100%","-","-",1999,181,"Anna and the King of Siam (1944), Margaret Landon",1944,1956,12
"880","The King and I",121,"The King and I",11993021,11993021,"100%","-","-",1999,182,"Anna and the King of Siam (1944), Margaret Landon",1944,1999,55
"881","The Lair of the White Worm",170,"The Lair of the White Worm",1189315,1189315,"100%","-","-",1988,1952,"The Lair of the White Worm (1911), Bram Stoker",1911,1988,77
"882","The Last of the Mohicans",17,"The Last of the Mohicans",75506530,75505856,"100%","-","-",1992,1985,"The Last of the Mohicans (1826), James Fenimore Cooper",1826,1920,94
"883","The Last of the Mohicans",17,"The Last of the Mohicans",75506530,75505856,"100%","-","-",1992,1988,"The Last of the Mohicans (1826), James Fenimore Cooper",1826,1936,110
